State,District,Groundwater Level,Rainfall,Recharge,Extraction,Availability,Assessment Category,Year
Andhra Pradesh,Ananthapuramu,35.5,550.0,45000.0,38000.0,12000.0,Critical,2024
Andhra Pradesh,Kurnool,58.2,680.0,52000.0,31000.0,25000.0,Safe,2024
Andhra Pradesh,Chittoor,42.0,620.0,40000.0,35000.0,15000.0,Semi-Critical,2024
Andhra Pradesh,Guntur,70.5,850.0,65000.0,22000.0,48000.0,Safe,2024
Telangana,Rangareddy,45.0,720.0,35000.0,33000.0,8000.0,Semi-Critical,2024
Telangana,Hyderabad,22.4,790.0,12000.0,15000.0,2000.0,Over-Exploited,2024
Telangana,Medak,51.0,780.0,41000.0,28000.0,17000.0,Safe,2024
Rajasthan,Jaipur,18.6,450.0,28000.0,36000.0,3000.0,Over-Exploited,2024
Rajasthan,Jodhpur,15.0,320.0,22000.0,29000.0,1500.0,Over-Exploited,2024
Rajasthan,Udaipur,49.0,590.0,31000.0,24000.0,11000.0,Safe,2024
Maharashtra,Pune,68.0,950.0,55000.0,32000.0,27000.0,Safe,2024
Maharashtra,Mumbai,78.0,2200.0,18000.0,8000.0,12000.0,Safe,2024
Maharashtra,Nagpur,62.5,1100.0,48000.0,25000.0,26000.0,Safe,2024
Punjab,Ludhiana,20.0,650.0,38000.0,45000.0,4000.0,Over-Exploited,2024
Punjab,Amritsar,25.0,680.0,34000.0,39000.0,5000.0,Over-Exploited,2024
Punjab,Jalandhar,28.0,710.0,32000.0,37000.0,4500.0,Over-Exploited,2024
Tamil Nadu,Chennai,30.0,1200.0,15000.0,18000.0,1000.0,Over-Exploited,2024
Tamil Nadu,Coimbatore,41.5,710.0,29000.0,31000.0,4000.0,Semi-Critical,2024
Karnataka,Bengaluru Urban,25.5,900.0,21000.0,28000.0,3000.0,Over-Exploited,2024
Karnataka,Belagavi,60.0,1200.0,49000.0,30000.0,21000.0,Safe,2024
